State,Year,population
Colorado,2018,5691287
Connecticut,2018,3571520
Delaware,2018,965479
District of Columbia,2018,701547
Florida,2018,21244317
Georgia,2018,10511131
Hawaii,2018,1420593
Idaho,2018,1750536
Illinois,2018,12723071
Indiana,2018,6695497
Iowa,2018,3148618
Kansas,2018,2911359
Kentucky,2018,4461153
Louisiana,2018,4659690
Maine,2018,1339057
Maryland,2018,6035802
Massachusetts,2018,6882635
Michigan,2018,9984072
Minnesota,2018,5606249
Mississippi,2018,2981020
Missouri,2018,6121623
Montana,2018,1060665
Nebraska,2018,1925614
Nevada,2018,3027341
New Hampshire,2018,1353465
New Jersey,2018,8886025
New Mexico,2018,2092741
New York,2018,19530351
North Carolina,2018,10381615
North Dakota,2018,758080
Ohio,2018,11676341
Oklahoma,2018,3940235
Oregon,2018,4181886
Pennsylvania,2018,12800922
Rhode Island,2018,1058287
South Carolina,2018,5084156
South Dakota,2018,878698
Tennessee,2018,6771631
Texas,2018,28628666
Utah,2018,3153550
Vermont,2018,624358
Virginia,2018,8501286
Washington,2018,7523869
West Virginia,2018,1804291
Wisconsin,2018,5807406
Wyoming,2018,577601
Alabama,2019,4903185
Alaska,2019,731545
Arizona,2019,7278717
Arkansas,2019,3017804
California,2019,39512223
Colorado,2019,5758736
Connecticut,2019,3565287
Delaware,2019,973764
District of Columbia,2019,705749
Florida,2019,21477737
Georgia,2019,10617423
Hawaii,2019,1415872
Idaho,2019,1787065
Illinois,2019,12671821
Indiana,2019,6732219
Iowa,2019,3155070
Kansas,2019,2913314
Kentucky,2019,4467673
Louisiana,2019,4648794
Maine,2019,1344212
Maryland,2019,6045680
Massachusetts,2019,6892503
Michigan,2019,9986857
Minnesota,2019,5639632
Mississippi,2019,2976149
Missouri,2019,6137428
Montana,2019,1068778
Nebraska,2019,1934408
Nevada,2019,3080156
New Hampshire,2019,1359711
New Jersey,2019,8882190
New Mexico,2019,2096829
New York,2019,19453561
North Carolina,2019,10488084
North Dakota,2019,762062
Ohio,2019,11689100
Oklahoma,2019,3956971
Oregon,2019,4217737
Pennsylvania,2019,12801989
Rhode Island,2019,1059361
South Carolina,2019,5148714
South Dakota,2019,884659
Tennessee,2019,6829174
Texas,2019,28995881
Utah,2019,3205958
Vermont,2019,623989
Virginia,2019,8535519
Washington,2019,7614893
West Virginia,2019,1792147
Wisconsin,2019,5822434
Wyoming,2019,578759
